iter	Passed	Remaining
0	28	6114
1	79	8352
2	103	7182
3	126	6556
4	164	6826
5	191	6581
6	216	6329
7	240	6143
8	266	6004
9	294	5955
10	322	5884
11	350	5840
12	378	5798
13	403	5704
14	429	5637
15	457	5609
16	484	5560
17	511	5512
18	540	5494
19	569	5466
20	598	5439
21	626	5408
22	654	5378
23	684	5360
24	712	5331
25	744	5325
26	774	5303
27	802	5273
28	829	5234
29	858	5208
30	886	5177
31	915	5149
32	944	5121
33	969	5073
34	996	5037
35	1025	5015
36	1053	4984
37	1086	4974
38	1117	4957
39	1149	4941
40	1180	4923
41	1210	4898
42	1240	4877
43	1271	4856
44	1301	4828
45	1331	4805
46	1361	4778
47	1389	4748
48	1418	4717
49	1450	4700
50	1481	4677
51	1512	4653
52	1541	4624
53	1573	4603
54	1601	4571
55	1627	4534
56	1657	4506
57	1686	4476
58	1717	4453
59	1750	4435
60	1782	4413
61	1813	4388
62	1845	4365
63	1878	4344
64	1910	4321
65	1941	4295
66	1977	4278
67	2009	4256
68	2041	4230
69	2070	4199
70	2100	4172
71	2130	4141
72	2158	4110
73	2189	4082
74	2218	4052
75	2250	4026
76	2278	3994
77	2306	3961
78	2335	3931
79	2364	3901
80	2392	3870
81	2419	3835
82	2452	3811
83	2480	3779
84	2510	3751
85	2539	3720
86	2565	3685
87	2592	3652
88	2619	3619
89	2646	3587
90	2673	3555
91	2700	3522
92	2732	3496
93	2759	3463
94	2787	3432
95	2821	3409
96	2866	3398
97	2899	3373
98	2929	3343
99	2962	3317
100	2998	3295
101	3028	3266
102	3058	3236
103	3088	3207
104	3118	3178
105	3150	3150
106	3183	3123
107	3213	3094
108	3245	3066
109	3276	3038
110	3305	3007
111	3338	2980
112	3367	2950
113	3399	2922
114	3427	2890
115	3458	2862
116	3488	2832
117	3514	2799
118	3545	2770
119	3575	2741
120	3602	2709
121	3628	2676
122	3657	2646
123	3686	2616
124	3716	2586
125	3747	2557
126	3779	2529
127	3811	2501
128	3845	2473
129	3875	2444
130	3906	2415
131	3934	2384
132	3964	2354
133	3994	2325
134	4027	2297
135	4057	2267
136	4086	2237
137	4117	2207
138	4145	2177
139	4174	2146
140	4205	2117
141	4232	2086
142	4259	2055
143	4290	2026
144	4321	1996
145	4351	1967
146	4379	1936
147	4409	1906
148	4435	1875
149	4462	1844
150	4488	1813
151	4518	1783
152	4547	1753
153	4578	1724
154	4608	1694
155	4639	1665
156	4667	1635
157	4694	1604
158	4724	1574
159	4754	1545
160	4783	1515
161	4812	1485
162	4841	1455
163	4869	1425
164	4899	1395
165	4927	1365
166	4954	1334
167	4981	1304
168	5009	1274
169	5038	1244
170	5071	1215
171	5099	1185
172	5126	1155
173	5156	1126
174	5188	1097
175	5219	1067
176	5251	1038
177	5281	1008
178	5309	978
179	5338	949
180	5368	919
181	5395	889
182	5424	859
183	5449	829
184	5477	799
185	5508	770
186	5537	740
187	5565	710
188	5593	680
189	5622	651
190	5651	621
191	5681	591
192	5714	562
193	5746	533
194	5777	503
195	5811	474
196	5843	444
197	5876	415
198	5909	386
199	5941	356
200	5971	326
201	6002	297
202	6036	267
203	6068	237
204	6097	208
205	6126	178
206	6157	148
207	6185	118
208	6211	89
209	6241	59
210	6270	29
211	6300	0
